model,iou,dice,precision,recall,pr_auc,fpr,fnr,ece,brier,obj_prec,obj_rec,obj_f1,latency_ms
Classical (Otsu),0.3733,0.5437,0.3735,0.9986,0.9647,0.0696,0.0014,0.0229,0.0158,0.5510,0.8438,0.6667,7.7672
"unet (VV_VH_DIFF, bce_dice)",0.8857,0.9394,0.9080,0.9731,0.9937,0.0041,0.0269,0.1754,0.0357,0.6531,1.0000,0.7901,163.1749
"unet_plus_plus (VV_VH_DIFF, bce_dice)",0.9175,0.9570,0.9930,0.9235,0.9964,0.0003,0.0765,0.2974,0.0927,0.9688,0.9688,0.9688,211.7777
unet (base),0.8857,0.9394,0.9080,0.9731,0.9941,0.0041,0.0269,0.1754,0.0357,0.6531,1.0000,0.7901,160.7940
unet+HN (hard-negative retrain),0.7188,0.8364,0.9945,0.7216,0.9923,0.0002,0.2784,0.1732,0.0330,0.5417,0.8125,0.6500,167.6652
unet (FINAL selected),0.8857,0.9394,0.9080,0.9731,0.9939,0.0041,0.0269,0.1754,0.0357,0.6531,1.0000,0.7901,174.4125
Two-Stage (SegFormer + Lookalike Clf),0.8769,0.9344,0.9832,0.8903,0.9344,0.0006,0.1097,0.0044,0.0050,1.0000,0.9062,0.9508,168.0883
